date,quarter,stocks,stocks_count
2005-09-30,2005-Q3,"MSNG,ELFV,LKOH,SIBN,IRKT,RTKM,SNGS,RTKMP,SNGSP,TATN,TRNFP,SBERP,MTSS,SVAV,SBER,KMAZ,AFLT,VSMO,NVTK,LSNG,CHMF",21
2005-12-31,2005-Q4,"MSNG,ELFV,LKOH,IRKT,SIBN,SNGS,RTKM,RTKMP,SNGSP,TATN,TRNFP,MTSS,SBER,SBERP,KMAZ,SVAV,AFLT,CHMF,NVTK,VSMO",20
2006-03-31,2006-Q1,"MSNG,ELFV,LKOH,IRKT,GAZP,RTKM,SIBN,SNGS,RTKMP,MSRS,SNGSP,TATN,TRNFP,MTSS,KMAZ,SBER,SBERP,SVAV,MAGN,AFLT,CHMF,VSMO,KLSB,NVTK,KROT,LSNG",26
2006-06-30,2006-Q2,"MSNG,GAZP,ELFV,LKOH,IRKT,SIBN,SNGS,RTKMP,RTKM,MSRS,TRNFP,SNGSP,TATN,SBER,MTSS,PLZL,SBERP,MAGN,KMAZ,AFLT,CHMF,SVAV,KLSB,VSMO,NVTK,NLMK,KROT,LSNG,PMSB",29
2006-09-30,2006-Q3,"MSNG,GAZP,ELFV,LKOH,MSRS,IRKT,ROSN,SNGS,SIBN,RTKMP,TATN,TRNFP,RTKM,SNGSP,MTSS,SBER,PLZL,SVAV,SBERP,KMAZ,MAGN,AFLT,CHMF,VSMO,KLSB,NVTK,NLMK,KROT,LSNG,MGNT,LSNGP,PMSB",32
2006-12-31,2006-Q4,"ELFV,MSNG,GAZP,LKOH,UPRO,RTKMP,MSRS,ROSN,SNGS,IRKT,SIBN,TATN,SNGSP,RTKM,MTSS,SBER,PLZL,SBERP,TRNFP,MAGN,GMKN,SVAV,CHMF,KLSB,KMAZ,LSNG,AFLT,NVTK,KROT,VSMO,NLMK,LSNGP,MGNT,AKRN,PMSB",35
2007-03-31,2007-Q1,"TGKB,MSNG,ELFV,UPRO,MSRS,GAZP,ROSN,LKOH,RTKMP,GMKN,TTLK,TGKA,SNGS,SIBN,IRKT,SNGSP,SBER,TATN,RTKM,MTSS,SBERP,PLZL,MAGN,TRNFP,CHMF,KMAZ,SVAV,LSNG,RASP,AFLT,NVTK,NLMK,VSMO,LSNGP,KLSB,KROT,MGNT,AKRN,PMSBP,PMSB",40
2007-06-30,2007-Q2,"TGKB,TGKN,TGKA,MSNG,ELFV,TTLK,UPRO,ROSN,GAZP,GMKN,MSRS,LKOH,RTKMP,TGKBP,SNGS,SIBN,IRKT,TATN,RTKM,SNGSP,SBER,PLZL,MTSS,MAGN,TRNFP,SBERP,OGKB,KMAZ,CHMF,SVAV,NVTK,RASP,LSNG,AFLT,NLMK,MGNT,VSMO,KLSB,LSNGP,BLNG",40
2007-09-30,2007-Q3,"TGKN,TGKB,TGKA,ELFV,MSNG,TGKBP,OGKB,UPRO,ROSN,GAZP,TTLK,GMKN,MSRS,LKOH,RTKMP,SNGS,SIBN,TATN,RTKM,VTBR,IRKT,PLZL,SNGSP,SBER,MTSS,MAGN,TRNFP,CHMF,SVAV,KMAZ,SBERP,BLNG,NVTK,RASP,NLMK,KLSB,TRMK,PIKK,APTK,AFLT",40
2007-12-31,2007-Q4,"TGKN,TGKB,TGKA,UPRO,ELFV,MSNG,TGKBP,OGKB,ROSN,GAZP,TTLK,GMKN,MSRS,LKOH,RTKMP,SIBN,VTBR,SNGS,SNGSP,TATN,IRKT,DVEC,PLZL,MAGN,SBER,TRNFP,MTSS,RTKM,CHMF,SVAV,PIKK,KMAZ,NVTK,RASP,TRMK,SBERP,NLMK,BLNG,KLSB,NMTP",40
2008-03-31,2008-Q1,"TGKB,TGKN,TGKA,TGKBP,ELFV,UPRO,ROSN,GAZP,OGKB,MSNG,GMKN,TTLK,LKOH,MSRS,RTKMP,DVEC,SIBN,VTBR,SNGS,BLNG,IRKT,SNGSP,PLZL,TATN,SBER,MAGN,MTSS,RTKM,SVAV,TRNFP,CHMF,RASP,NMTP,KMAZ,NVTK,TRMK,NLMK,SBERP,AFLT,MGNT",40
2008-06-30,2008-Q2,"TGKN,TGKB,TGKA,TGKBP,ELFV,ROSN,OGKB,GAZP,TTLK,MSNG,MRKP,LKOH,MSRS,GMKN,DVEC,SIBN,VTBR,SNGS,BLNG,RTKMP,UPRO,SBER,SNGSP,RTKM,MTSS,PLZL,RASP,MAGN,TATN,IRKT,SVAV,CHMF,TRNFP,NVTK,TRMK,NLMK,NMTP,LSNG,APTK,KMAZ",40
2008-09-30,2008-Q3,"TGKB,TGKN,TGKA,MRKP,TGKBP,UPRO,MSNG,ROSN,OGKB,MSRS,ELFV,GAZP,LKOH,GMKN,MRKC,MRKY,MRKV,TTLK,MRKU,VTBR,MRKS,DVEC,SIBN,SNGS,BLNG,MRKZ,RTKMP,SBER,RTKM,SNGSP,RASP,MAGN,PLZL,TATN,MTSS,IRAO,CHMF,TRNFP,HYDR,LSNG",40
2008-12-31,2008-Q4,"TGKB,TGKN,TGKA,MRKP,UPRO,MRKU,MSRS,MRKV,OGKB,ROSN,MSNG,TGKBP,MRKZ,GAZP,ELFV,MRKY,MRKS,TTLK,MRKC,LKOH,GMKN,SIBN,DVEC,VTBR,SNGS,SBER,RTKMP,PLZL,SNGSP,IRAO,HYDR,TATN,RASP,MAGN,MTSS,CHMF,NMTP,FEES,TRNFP,NVTK",40
2009-03-31,2009-Q1,"TGKN,TGKB,TGKA,MRKP,TGKBP,ROSN,MRKV,GAZP,UPRO,MRKU,MSNG,MRKZ,OGKB,MRKS,ELFV,LKOH,GMKN,MRKC,MSRS,MRKY,SIBN,RTKMP,TTLK,SNGS,VTBR,SBER,DVEC,PLZL,BLNG,SNGSP,NMTP,MAGN,CHMF,IRAO,HYDR,RASP,FEES,TATN,MTSS,TRMK",40
