--- РЕЗУЛЬТАТЫ ОПТИМИЗАЦИИ СТРАТЕГИИ: SmaCrossStrategy ---
Бумаги в тесте: SBER, VTBR, GAZP, LKOH, NVTK, YDEX, T
Параметры для оптимизации: fast_ma, slow_ma

fast_ma    | slow_ma    | ProfitFactor    | TotalTrades 
---------------------------------------------------------
5          | 30         | 1.56            | 296         
5          | 40         | 2.00            | 232         
5          | 50         | 1.92            | 199         
5          | 60         | 2.59            | 186         
10         | 30         | 1.53            | 247         
10         | 40         | 1.70            | 196         
10         | 50         | 1.87            | 153         
10         | 60         | 1.88            | 139         
15         | 30         | 1.39            | 230         
15         | 40         | 1.78            | 173         
15         | 50         | 2.13            | 135         
15         | 60         | 2.01            | 120         
20         | 30         | 1.82            | 237         
20         | 40         | 1.97            | 168         
20         | 50         | 2.13            | 128         
20         | 60         | 2.10            | 103         
